Religion,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Seventh-day Adventist,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,199.9,399.8,599.7,799.6,999.5,1199.4,1399.3,1599.2,1799.1,1999.0,2232.8,2466.6,2700.4,2934.2,3168.0,3401.8,3635.6,3869.4,4103.2,4337.0,4468.25,4599.5,4730.75,4862.0,4993.25,5124.5,5255.75,5387.0,5518.25,5649.5,5780.75,5912.0,6000.928571,6089.857143,6178.785714,6267.714286,6356.642857,6445.571429,6534.5,6623.428571,6712.357143000001,6801.285714,6890.214286,6979.142856999999,7068.0714290000005,7157.0,7631.142856999999,8105.285714,8579.428570999999,9053.571429000001,9527.714286,10001.85714,10476.0,10755.28571,11034.57143,11313.85714,11593.14286,11872.42857,12151.71429,12431.0,12832.2,13233.4,13634.6,14035.8,14437.0,14786.2,15135.4,15484.6,15833.8,16183.0,16206.6,16230.2,16253.8,16277.4,16301.0,16850.4,17399.8,17949.2,18498.6,19048.0,18922.0,18796.0,18670.0,18544.0,18418.0,18609.4,18800.8,18992.2,19183.6,19375.0,19785.4,20195.8,20606.2,21016.6,21427.0,21457.6,21488.2,21518.8,21549.4,21580.0,21602.2,21624.4,21646.6,21668.8,21691.0,22049.0,22407.0,22765.0,23123.0,23481,23317.6,23154.2,22990.8,22827.4,22664
Lutheran,4836.0,5147.4,5458.8,5770.2,6081.6,6393.0,6704.4,7015.8,7327.2,7638.6,7950.0,7893.7,7837.4,7781.1,7724.8,7668.5,7612.2,7555.9,7499.6,7443.3,7387.0,7357.0,7327.0,7297.0,7267.0,7237.0,7207.0,7177.0,7147.0,7117.0,7087.0,6881.4,6675.8,6470.2,6264.6,6059.0,5853.4,5647.8,5442.2,5236.6,5031.0,5108.083333,5185.166667,5262.25,5339.333333,5416.416667,5493.5,5570.583333,5647.666667,5724.75,5801.833333,5878.916667,5956.0,5953.071429,5950.142857,5947.214286,5944.285714,5941.357143,5938.428571,5935.5,5932.571429,5929.642857,5926.714286,5923.785714,5920.857143,5917.928571,5915.0,7503.285714,9091.571429000001,10679.85714,12268.14286,13856.428569999998,15444.71429,17033.0,18533.14286,20033.28571,21533.42857,23033.57143,24533.71429,26033.85714,27534.0,28031.0,28528.0,29025.0,29522.0,30019.0,30770.4,31521.8,32273.2,33024.6,33776.0,33127.8,32479.6,31831.4,31183.2,30535.0,30767.2,30999.4,31231.6,31463.8,31696.0,31734.8,31773.6,31812.4,31851.2,31890.0,33363.8,34837.6,36311.4,37785.2,39259.0,38935.2,38611.4,38287.6,37963.8,37640.0,37351.6,37063.2,36774.8,36486.4,36198.0,36027.2,35856.4,35685.6,35514.8,35344.0,34893.8,34443.6,33993.4,33543.2,33093,30564.6,28036.2,25507.8,22979.4,20451
Latter-day Saints,,30.7,61.4,92.1,122.8,153.5,184.2,214.9,245.6,276.3,307.0,343.1,379.2,415.3,451.4,487.5,523.6,559.7,595.8,631.9,668.0,704.1,740.2,776.3,812.4,848.5,884.6,920.7,956.8,992.9,1029.0,1109.1,1189.2,1269.3,1349.4,1429.5,1509.6,1589.7,1669.8,1749.9,1830.0,1677.5,1525.0,1372.5,1220.0,1067.5,915.0,762.5,610.0,457.5,305.0,152.5,,149.78571430000002,299.57142860000005,449.35714289999993,599.1428571,748.9285714,898.7142857000001,1048.5,1198.285714,1348.0714289999999,1497.857143,1647.642857,1797.4285710000001,1947.214286,2097.0,1797.4285710000001,1497.857143,1198.285714,898.7142857000001,599.1428571,299.57142860000005,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2037.6,4075.2,6112.8,8150.4,10188.0,10386.0,10584.0,10782.0,10980.0,11178.0,11276.4,11374.8,11473.2,11571.6,11670.0,12223.6,12777.2,13330.8,13884.4,14438.0,14794.6,15151.2,15507.8,15864.4,16221.0,16157.2,16093.4,16029.6,15965.8,15902.0,16002.8,16103.6,16204.4,16305.2,16406,16334.0,16262.0,16190.0,16118.0,16046
Salvation Army,,1031.5,2063.0,3094.5,4126.0,5157.5,6189.0,7220.5,8252.0,9283.5,10315.0,10242.0,10169.0,10096.0,10023.0,9950.0,9877.0,9804.0,9731.0,9658.0,9585.0,9367.8,9150.6,8933.4,8716.2,8499.0,8281.8,8064.6,7847.4,7630.2,7413.0,7620.7,7828.4,8036.1,8243.8,8451.5,8659.2,8866.9,9074.6,9282.3,9490.0,9500.0,9510.0,9520.0,9530.0,9540.0,9550.0,9560.0,9570.0,9580.0,9590.0,9600.0,9610.0,9700.071429000001,9790.142856999999,9880.214286,9970.285714,10060.35714,10150.42857,10240.5,10330.57143,10420.64286,10510.71429,10600.78571,10690.85714,10780.92857,10871.0,11150.14286,11429.28571,11708.42857,11987.57143,12266.71429,12545.85714,12825.0,13227.42857,13629.85714,14032.28571,14434.71429,14837.14286,15239.571430000002,15642.0,15987.2,16332.4,16677.6,17022.8,17368.0,17841.0,18314.0,18787.0,19260.0,19733.0,19581.4,19429.8,19278.2,19126.6,18975.0,19575.0,20175.0,20775.0,21375.0,21975.0,22538.2,23101.4,23664.6,24227.8,24791.0,24328.2,23865.4,23402.6,22939.8,22477.0,22674.4,22871.8,23069.2,23266.6,23464.0,23307.2,23150.4,22993.6,22836.8,22680.0,22234.4,21788.8,21343.2,20897.6,20452.0,20144.6,19837.2,19529.8,19222.4,18915,18175.6,17436.2,16696.8,15957.4,15218
Assyrian Apostolic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1405.6,2811.2,4216.8,5622.4,7028.0,7363.6,7699.2,8034.8,8370.4,8706,9158.2,9610.4,10062.6,10514.8,10967
Brethren,,105.6,211.2,316.8,422.4,528.0,633.6,739.2,844.8,950.4,1056.0,1166.9,1277.8,1388.7,1499.6,1610.5,1721.4,1832.3,1943.2,2054.1,2165.0,2172.1,2179.2,2186.3,2193.4,2200.5,2207.6,2214.7,2221.8,2228.9,2236.0,2408.3,2580.6,2752.9,2925.2,3097.5,3269.8,3442.1,3614.4,3786.7,3959.0,3944.416667,3929.833333,3915.25,3900.666667,3886.083333,3871.5,3856.916667,3842.333333,3827.75,3813.166667,3798.583333,3784.0,3828.071429,3872.142857,3916.214286,3960.285714,4004.357143,4048.428571,4092.5,4136.571429,4180.642857,4224.714286,4268.785714,4312.857143,4356.928571,4401.0,4541.428571,4681.857143,4822.285714,4962.714286,5103.142857,5243.571429,5384.0,5310.428571,5236.857143,5163.285714,5089.714286,5016.142857,4942.571429,4869.0,4788.0,4707.0,4626.0,4545.0,4464.0,4879.4,5294.8,5710.2,6125.6,6541.0,6275.2,6009.4,5743.6,5477.8,5212.0,5371.0,5530.0,5689.0,5848.0,6007.0,6128.8,6250.6,6372.4,6494.2,6616.0,6652.6,6689.2,6725.8,6762.4,6799.0,6691.0,6583.0,6475.0,6367.0,6259.0,6151.4,6043.8,5936.2,5828.6,5721.0,6121.2,6521.4,6921.6,7321.8,7722.0,7651.2,7580.4,7509.6,7438.8,7368,7200.0,7032.0,6864.0,6696.0,6528
Churches of Christ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,645.8,1291.6,1937.4,2583.2,3229.0,3874.8,4520.6,5166.4,5812.2,6458.0,6606.3,6754.6,6902.9,7051.2,7199.5,7347.8,7496.1,7644.4,7792.7,7941.0,8000.75,8060.5,8120.25,8180.0,8239.75,8299.5,8359.25,8419.0,8478.75,8538.5,8598.25,8658.0,8773.071429000001,8888.142856999999,9003.214286,9118.285714,9233.357143000001,9348.428570999999,9463.5,9578.571429000001,9693.642856999999,9808.714286,9923.785714,10038.85714,10153.92857,10269.0,10311.57143,10354.14286,10396.71429,10439.28571,10481.85714,10524.42857,10567.0,10898.71429,11230.42857,11562.14286,11893.85714,12225.57143,12557.28571,12889.0,13099.2,13309.4,13519.6,13729.8,13940.0,14022.6,14105.2,14187.8,14270.4,14353.0,14094.2,13835.4,13576.6,13317.8,13059.0,13286.4,13513.8,13741.2,13968.6,14196.0,14386.2,14576.4,14766.6,14956.8,15147.0,15026.8,14906.6,14786.4,14666.2,14546.0,14341.0,14136.0,13931.0,13726.0,13521.0,12998.2,12475.4,11952.6,11429.8,10907.0,10636.0,10365.0,10094.0,9823.0,9552.0,9034.4,8516.8,7999.2,7481.6,6964,6683.8,6403.6,6123.4,5843.2,5563
Baha'I,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,903.6,1807.2,2710.8,3614.4,4518,4508.4,4498.8,4489.2,4479.6,4470
Catholic,207606.0,215596.4,223586.8,231577.2,239567.6,247558.0,255548.4,263538.8,271529.2,279519.6,287510.0,293540.6,299571.2,305601.8,311632.4,317663.0,323693.6,329724.2,335754.8,341785.4,347816.0,354381.1,360946.2,367511.3,374076.4,380641.5,387206.6,393771.7,400336.8,406901.9,413467.0,422651.9,431836.8,441021.7,450206.6,459391.5,468576.4,477761.3,486946.2,496131.1,505316.0,509874.8333,514433.6667,518992.5,523551.3333,528110.1667,532669.0,537227.8333,541786.6667,546345.5,550904.3333,555463.1667,560022.0,568910.2857,577798.5714,586686.8571,595575.1429,604463.4286,613351.7143,622240.0,631128.2857,640016.5714,648904.8571,657793.1429,666681.4286,675569.7143,684458.0,707314.4286,730170.8571,753027.2857,775883.7143,798740.1429,821596.5714,844453.0,871214.4286,897975.8571,924737.2857,951498.7143,978260.1429,1005021.571,1031783.0,1060382.2,1088981.4,1117580.6,1146179.8,1174779.0,1203673.2,1232567.4,1261461.6,1290355.8,1319250.0,1318274.4,1317298.8,1316323.2,1315347.6,1314372.0,1336397.2,1358422.4,1380447.6,1402472.8,1424498.0,1445433.6,1466369.2,1487304.8,1508240.4,1529176.0,1561870.4,1594564.8,1627259.2,1659953.6,1692648.0,1705392.8,1718137.6,1730882.4,1743627.2,1756372.0,1769526.0,1782680.0,1795834.0,1808988.0,1822142.0,1826813.2,1831484.4,1836155.6,1840826.8,1845498.0,1856875.8,1868253.6,1879631.4,1891009.2,1902387,1916904.2,1931421.4,1945938.6,1960455.8,1974973
Anglican,352316.0,367770.6,383225.2,398679.8,414134.4,429589.0,445043.6,460498.2,475952.8,491407.4,506862.0,518822.4,530782.8,542743.2,554703.6,566664.0,578624.4,590584.8,602545.2,614505.6,626466.0,640909.8,655353.6,669797.4,684241.2,698685.0,713128.8,727572.6,742016.4,756460.2,770904.0,798590.6,826277.2,853963.8,881650.4,909337.0,937023.6,964710.2,992396.8,1020083.4,1047770.0,1057352.25,1066934.5,1076516.75,1086099.0,1095681.25,1105263.5,1114845.75,1124428.0,1134010.25,1143592.5,1153174.75,1162757.0,1173634.929,1184512.857,1195390.7859999998,1206268.7140000002,1217146.643,1228024.571,1238902.5,1249780.429,1260658.357,1271536.2859999998,1282414.2140000002,1293292.143,1304170.071,1315048.0,1340603.143,1366158.2859999998,1391713.429,1417268.571,1442823.7140000002,1468378.8569999998,1493934.0,1507054.571,1520175.1430000002,1533295.7140000002,1546416.2859999998,1559536.8569999998,1572657.429,1585778.0,1598483.6,1611189.2,1623894.8,1636600.4,1649306.0,1658698.4,1668090.8,1677483.2,1686875.6,1696268.0,1673862.6,1651457.2,1629051.8,1606646.4,1584241.0,1591043.6,1597846.2,1604648.8,1611451.4,1618254.0,1607734.4,1597214.8,1586695.2,1576175.6,1565656.0,1565989.6,1566323.2,1566656.8,1566990.4,1567324.0,1561199.8,1555075.6,1548951.4,1542827.2,1536703.0,1532375.8,1528048.6,1523721.4,1519394.2,1515067.0,1500494.0,1485921.0,1471348.0,1456775.0,1442202.0,1429438.0,1416674.0,1403910.0,1391146.0,1378382,1335100.4,1291818.8,1248537.2,1205255.6,1161974
